学年,课程编号,课程名称,购买链接,网课链接（推荐）
第一学年上,1,线性代数 ,https://m.ftxia.com/topic.htm?id=87046003&show_loading=0&webview_progress_bar=1,【《线性代数》教学视频  宋浩老师（2024年更新）】 https://www.bilibili.com/video/BV1aW411Q7x1/?share_source=copy_web&vd_source=b909fc7bf8cb294c65e96c6eec34b6e9
第一学年上,2,数学分析I上,https://mobile-phone.taobao.com/chanpin/efe9aa4e8a8b09ab0f7009894d4a026050c84a6b17e7e027341d8bd1bc6c5ed1b5e87ce32962babeb65086fe6cca7069.html?flow_extra=eyJkb2NfaWQiOiI4YWY2MTUzNWM3ODQ5YmRiLTE5N2IzYmRmOGI1ODNiODkiLCJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxfQ%3D%3D&f_link_type=f_linkinlinenote&show_loading=0&webview_progress_bar=1,https://b23.tv/hw8x723
第一学年上,3,解析几何,https://e.tb.cn/h.SKlZZziUX6ZeH2X?tk=MhzsfS8cLsW, https://b23.tv/J55BqKR
第一学年上,4,大学英语 I,,
第一学年上,5,体育 I,,
第一学年上,6,军事理论与军事高科技,,
第一学年上,7,思想道德修养与法律基础,,
第一学年上,8,马克思主义基本原理概论,,
第一学年上,9,大学生心理健康教程,,
第一学年上,10,大学计算机基础,,
第一学年上,11,中国近现代史纲要,,
第一学年上,12,国学通识类课程,,
第一学年上,13,创新创业类课程,,
第一学年上,14,艺术鉴赏类课程,,
第一学年上,15,高等代数（上）,https://www.hep.com.cn/book/show/8415a64a-aa59-4bf1-80cf-181c8fc68ff7?flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjozLCJkb2NfaWQiOiJkODMyYThjZDZmNjMyMWM2LTgxNWFiNWE4YjE4ZDFiODMifQ%3D%3D&f_link_type=f_linkinlinenote&webview_progress_bar=1&show_loading=0,https://b23.tv/DRUXwep
第一学年上,16,高等代数（下）,https://www.hep.com.cn/book/show/8415a64a-aa59-4bf1-80cf-181c8fc68ff7?flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjozLCJkb2NfaWQiOiJkODMyYThjZDZmNjMyMWM2LTgxNWFiNWE4YjE4ZDFiODMifQ%3D%3D&f_link_type=f_linkinlinenote&webview_progress_bar=1&show_loading=0,https://b23.tv/DRUXwep
第一学年上,17,高等数学（上）,,
第一学年上 ,18,大学物理,http://product.m.dangdang.com/product.php?pid=11129218629&host=product.dangdang.com,https://b23.tv/tNEF4jt
第一学年上,19,大学物理实验 I,,
第一学年上,20,数学史,http://product.m.dangdang.com/detail11879282528-24918-1.html?f_link_type=f_linkinlinenote&flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxLCJkb2NfaWQiOiI4Mzg4NDdhZjgxMTQzOWFjLWRmZjQ1ZmIyODEyODMwYmMifQ%3D%3D&webview_progress_bar=1&show_loading=0, https://b23.tv/3uPJchF
第一学年上,21,数学内容方法与意义,,
第一学年上,22,数学建模,http://product.m.dangdang.com/detail12318606055-21485-1.html?f_link_type=f_linkinlinenote&flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoyLCJkb2NfaWQiOiJmNWQyNmQxODdiNzg2ZDNiLWNjNzBjYmNhZWJmOWUyNGMifQ%3D%3D&webview_progress_bar=1&show_loading=0,https://b23.tv/Dvse6tg
第一学年上,23,现代数学选讲,,
第一学年下,25,高等代数 II,,
第一学年下,26,C++程序设计基础,https://m.douban.com/book/subject/30654335/?f_link_type=f_linkinlinenote&flow_extra=eyJkb2NfcG9zaXRpb24iOjEsImRvY19pZCI6ImZmMmQ0NTg3NTEwNWRhM2ItNWJkNjM4OGQxODhlNzExYyIsImlubGluZV9kaXNwbGF5X3Bvc2l0aW9uIjowfQ%3D%3D&webview_progress_bar=1&show_loading=0,https://b23.tv/0ERQBXF
第一学年下,27,体育 II,,
第一学年下,28,军事训练（军训）,,
第一学年下,29,毛泽东思想和中国特色社会主义理论体系概论,,
第一学年下,30,形势与政策（上）,,
第一学年下,31,C语言程序设计,http://product.m.dangdang.com/product.php?pid=29767497&host=product.dangdang.com,https://b23.tv/oHdAD0E
第一学年下,32,数据结构与算法,,
第一学年下,33,初等数论,https://www.hep.com.cn/book/show/a617cdd3-e16f-44cd-8a66-e2c9f04cacbc?f_link_type=f_linkinlinenote&flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxLCJkb2NfaWQiOiIyMGRlNDg2NDBlNzY0MTI4LTBkNmFjMzc2YTYxNzdiM2EifQ%3D%3D&webview_progress_bar=1&show_loading=0,https://b23.tv/Z4I35ZA
第一学年下,34,大学物理 I（下）,,
第一学年下,35,大学物理实验 II,,
第一学年下,36,数学分析（中）,https://mobile-phone.taobao.com/chanpin/efe9aa4e8a8b09ab0f7009894d4a026050c84a6b17e7e027341d8bd1bc6c5ed1b5e87ce32962babeb65086fe6cca7069.html?flow_extra=eyJkb2NfaWQiOiI4YWY2MTUzNWM3ODQ5YmRiLTE5N2IzYmRmOGI1ODNiODkiLCJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxfQ%3D%3D&f_link_type=f_linkinlinenote&show_loading=0&webview_progress_bar=1,https://b23.tv/hw8x723
第一学年下,37,专业概论,,
第一学年下,38,数学建模（选修）,,
第一学年下,39,程序设计技术与方法,,
第一学年下,40,算法导论,,
第一学年下,41,统计思想,,
第二学年上,43,抽象代数,https://mbook.kongfz.com/1057179/9062141760/?webview_progress_bar=1&show_loading=0,https://b23.tv/ELEbL2I
第二学年上,44,常微分方程,https://www.hep.com.cn/book/show/1c766732-65f5-4290-a03f-c0443d51d0b0?flow_extra=eyJkb2NfaWQiOiI5MWU5NmM4YTYyMTUxMDJkLTFmZWZiYTFlOGNhMTdmMTYiLCJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxfQ%3D%3D&f_link_type=f_linkinlinenote&webview_progress_bar=1&show_loading=0, https://b23.tv/wXnxV6v
第二学年上,45,大学英语 III,,
第二学年上,46,体育 III,,
第二学年上,47,概率论教程,https://www.hep.com.cn/book/show/7b8ef15a-893a-451f-b8bf-6013056d3ca7?flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxLCJkb2NfaWQiOiI4NzA2ZDcwMTNhNWEzNTAzLWYyNmI5Yjg2YmMyNjFiNjMifQ%3D%3D&f_link_type=f_linkinlinenote&webview_progress_bar=1&show_loading=0,https://b23.tv/iVFi0b3
第二学年上,48,数学建模的理论与实践,,
第二学年上,49,数理统计与分析,,
第二学年上,50,算法设计与分析,,
第二学年上,51,数据库系统,,
第二学年上,52,拓扑学,https://www.am10.com/art-MXZytmb11GIm2a5Rmo5Tuo5.htm?f_link_type=f_linkinlinenote&flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxLCJkb2NfaWQiOiI4OGY4YWY0YzQ1MjBkNDBmLTJiNDA5MzM3MTMzMWVlODUifQ%3D%3D&webview_progress_bar=1&show_loading=0,https://b23.tv/qvShBiP
第二学年上,53,随机过程及其应用,https://www.hep.com.cn/book/show/713649c2-945c-4b82-8946-40788149b132?webview_progress_bar=1&show_loading=0,https://b23.tv/OJyIbu7
第二学年上,54,非线性泛函分析,https://tao.hooos.com/goods_k7VXznpiYtaOGA5OwrcGgGIPtJ-QAnppRSbdp8GJQ5IB.html?webview_progress_bar=1&show_loading=0,https://b23.tv/fLzEENy
第二学年上,55,偏微分方程,https://xuanshu.hep.com.cn/front/h5Mobile/bookDetails?bookId=5db47dabb0b2bda7c523bdc0&show_loading=0&webview_progress_bar=1, https://b23.tv/KJ6IofO
第二学年下,57,运筹学,http://product.m.dangdang.com/detail11981721366-25496-1.html?webview_progress_bar=1&show_loading=0, https://b23.tv/mq0m2KE
第二学年下,58,应用数学导论,https://xuanshu.hep.com.cn/front/h5Mobile/bookDetails?bookId=65f7223674ce561611bd9e48&show_loading=0&webview_progress_bar=1,https://b23.tv/jlIORjz
第二学年下,59,多元统计分析,https://m.jd.com/, https://b23.tv/BidyE6C
第二学年下,60,金融数学,https://item.m.jd.com/product/12684423.html?show_loading=0&webview_progress_bar=1,https://b23.tv/QYSifjN
第二学年下,61,机器学习：理论与算法,https://m.jd.com/,https://b23.tv/8EDMVks
第二学年下,62,深度学习：算法与应用,https://www.deeplearningbook.org/?show_loading=0&webview_progress_bar=1,
第二学年下,63,人工智能导论,http://product.m.dangdang.com/detail11288885844-24504-1.html?show_loading=0&webview_progress_bar=1,https://b23.tv/Aqfal6J
第二学年下,64,大数据分析中的算法,http://www.cmpedu.com/books/book/5606597.htm?webview_progress_bar=1&show_loading=0,https://b23.tv/tRhJlTc
第二学年下,65,应用时间序列分析,https://m.ftxia.com/topic.htm?id=127147929&f_link_type=f_linkinlinenote&flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxLCJkb2NfaWQiOiJhYjg0ZjI1YWQ1MmVkMGM3LWFhOTdiYWQ4ZmYyNTYyMzMifQ%3D%3D&webview_progress_bar=1&show_loading=0,https://b23.tv/Kw5vBPW
第二学年下,66,金融时间序列分析,,
第三学年上,68,数值代数,https://m.suning.com/search/1b6nbw.html?show_loading=0&webview_progress_bar=1,https://b23.tv/lwbrimN
第三学年上,69,最优化方法,http://faculty.bicmr.pku.edu.cn/~wenzw/optbook.html?flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxLCJkb2NfaWQiOiI3ZDljYzUyNjBjODA1YWUzLTVjNmVjZWNiOWMzNTcwNDIifQ%3D%3D&f_link_type=f_linkinlinenote&webview_progress_bar=1&show_loading=0, https://b23.tv/9lHexT9
第三学年上,70,图像处理的数学方法,,
第三学年上,71,计算方法 B,,
第三学年上,72,Java语言,http://product.m.dangdang.com/product.php?pid=20410977&host=product.dangdang.com,https://b23.tv/lLrJfdg
第三学年上,73,数据库系统实现,,
第三学年上,74,并行计算 II,,
第三学年上,75,统计学习与流式计算基础,,
第三学年下,77,强化学习：理论与算法,,
第三学年下,78,计算机图形学,,
第三学年下,79,神经网络与算法,https://link.wtturl.cn/?aid=482431&lang=zh&scene=im&jumper_version=1&target=http%3A%2F%2Fm.8mob.com%2Ftopic.htm%3Fid%3D87612957%26f_link_type%3Df_linkinlinenote%26flow_extra%3DeyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoxLCJkb2NfaWQiOiJlMTgxMTc0OWE0NDJiMTcwLTE4ZDI0MDQwNTBiNDIxNjQifQ%253D%253D%26show_loading%3D0%26webview_progress_bar%3D1,https://b23.tv/agbvHqQ
第三学年下,80,人工智能与深度学习,,
第三学年下,81,应用数学模型,,
第三学年下,82,金融数学实验,,
第三学年下,83,数学建模的理论与实践,,
第三学年下,84,计算机编程实训,,
第四学年上,86,随机模拟方法,,
第四学年上,87,统计学习,https://www.am10.com/art-Im45sy65VOr55ap5gmL5m2a5h6K6fu75.htm?f_link_type=f_linkinlinenote&flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjoyLCJkb2NfaWQiOiJiYmZmN2YxMjRkYjRlNTU1LWEyYjNkOTM5NWE4YzRkNTYifQ%3D%3D&webview_progress_bar=1&show_loading=0,https://b23.tv/KB3NiLp
第四学年上,88,风险管理,,
第四学年上,89,计量经济学,,
第四学年上,90,金融风险管理,,
第四学年上,91,数学专题,,
第四学年上,92,数学史专题,,
第四学年下,94,毕业实习,,
第四学年下,95,数学建模实训,,
第四学年下,96,数学教育研究项目,,
第四学年下,97,大数据项目实践,,
第四学年下,98,深度学习项目实践,,
第四学年下,99,强化学习项目实践,,
第四学年下,100,数学文化传播与创新,,
